В большинстве настольных игр есть один победитель и несколько проигравших. Но в ЭТОЙ игре — один неудачник и несколько победителей. Слово «ЭТАИГРА» — повелительное наклонение от глагола, на языке суахили означающего «строить».;"Дженга;"
В Словении есть маленькие домики, обитатели которых приносят немалый доход государству. Их деятельность внутри страны называют «поэзией сельского хозяйства», а ООН даже установила Международный день в их честь, отмечаемый 20 мая. Кто живет в скромных домиках?;"Пчелы;"
 Сегодня известны уже более 50 тысяч их разновидностей. Например, к ним можно отнести «червей», «коня» и т.д. Впервые Евгений столкнулся с ними в 1989 году и впоследствии стал их заклятым врагом. К настоящему времени он активно сотрудничает с компаниями «Форд», «Моторола» и «Нокиа». Какую фамилию носит этот Евгений?;"Касперский;"
В 2016 году в одном из самых шумных мегаполисов Нью-Йорке открылся ресторан Eat. Атмосфера ресторана очень порадовала офисных работников, потому что подразумевает именно такие обеды. Какие?;"Тихий;"
Пытаясь адаптироваться к потребностям своих клиентов, владельцы европейских отелей стали сдавать необычные номера. В них есть специальные коврики и компас, а в холодильнике отсутствует алкоголь. Для кого сделаны такие удобства?;"Мусульмане;"
Царица Клеопатра объявила их священными. Аристотель назвал их кишечником земли. Чарлз Дарвин был уверен, что они играют важную роль в мировой истории. Кто они?;"Дождевые черви;"
Заголовок заметки в газете «Сегодня», посвященной победе украинского теннисиста Сергея Стаховского над чехом Павелем Шнобелем, состоял из четырех слов. Первым словом была фамилия чеха. Назовите остальные три слова, составляющие устойчивое выражение;"Остался с носом;"
На заседании Парламента США политик Билл Лонг необычно прервал тираду активистки, начав быстро и ритмично перечислять разные числа, заполняя все паузы между словами. Эту тактику Билл применял на своем предыдущем месте работы, мотивируя клиентов торопиться и совершать необдуманные с экономической точки зрения действия. Где до парламента работал Билл?;"Аукцион;"
На севере ЭТОЙ страны местная жительница заметила кенгуру. В одном новостном портале заголовок с новостью выглядит так: «В ЕЁ полях обнаружили кенгуру». Теперь все будут думать, что это опечатка в заголовке. Что за страна?;"Австрия;"
Это вещество – основной компонент кислотных дождей. В газообразной форме оно может вызвать тяжелые ожоги. Последствием попадания этого вещества в желудок может стать усиленное потоотделение, а в случае большой дозы – и рвота. При случайном же вдыхании его не исключен и летальный исход. Назовите это вещество.;"Вода;"
